datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,anomaly,anomaly_score,is_anomaly,hour,day_of_week,date,month,month_name,season,typical_hourly_power,typical_sub_metering_1,typical_sub_metering_2,typical_sub_metering_3,typical_global_reactive_power,typical_voltage,typical_global_intensity,sub_metering_remainder,difference_percent,previous_hour_power,next_hour_power,previous_hour_difference_percent,next_hour_difference_percent
2006-12-16 17:00:00,4.222888888888889,0.2289999999999999,234.6438888888889,18.1,0.0,0.5277777777777778,16.86111111111111,1,0.0123991759328612,0,17,Saturday,2006-12-16,12,December,Winter,0.9788684174990993,0.47985559566787006,1.4656493905291554,5.167453026666757,0.12868527119475423,240.38709812732048,4.173299218648863,52.99259259259259,331.405162675276,,3.6322,,197.85930716172905
2006-12-16 18:00:00,3.6322,0.0800333333333333,234.58016666666663,15.6,0.0,6.716666666666667,16.866666666666667,1,0.0336740073878163,0,18,Saturday,2006-12-16,12,December,Winter,1.2194347843654318,0.9641459599773845,1.337817871194117,5.520657614823347,0.1364274269365823,239.45155516123728,5.190490131177417,36.95333333333333,197.85930716172905,4.222888888888889,3.400233333333333,331.405162675276,118.66380463635747
2006-12-16 19:00:00,3.400233333333333,0.0852333333333333,233.2325,14.503333333333334,0.0,1.4333333333333331,16.683333333333334,1,0.0619077540686896,0,19,Saturday,2006-12-16,12,December,Winter,1.5550051088647219,1.6174463871485665,1.5115220220535377,6.446302302982427,0.171786145459234,238.930466899755,6.632231158325848,38.55388888888889,118.66380463635747,3.6322,3.2685666666666666,197.85930716172905,86.77278923303768
2006-12-16 20:00:00,3.2685666666666666,0.0751,234.0715,13.916666666666666,0.0,0.0,16.783333333333335,1,0.0908738598369036,0,20,Saturday,2006-12-16,12,December,Winter,1.750022945038559,2.08140452044229,1.1707262942929122,8.175613541830558,0.15300816035440865,239.28330246029805,7.409248924179829,37.69277777777778,86.77278923303768,3.400233333333333,3.0564666666666667,118.66380463635747,73.68260320691815
2006-12-16 21:00:00,3.0564666666666667,0.0766666666666666,237.15866666666668,13.046666666666663,0.0,0.4166666666666667,17.216666666666665,1,0.137068035611645,0,21,Saturday,2006-12-16,12,December,Winter,1.759800124037363,2.287026996779288,1.129015347837043,7.328838859377964,0.12980194242896828,239.27266637429696,7.416569825188503,33.30777777777779,73.68260320691815,3.2685666666666666,2.200133333333333,86.77278923303768,60.68327964660914
2006-12-16 22:00:00,2.200133333333333,0.0561666666666666,238.76,9.523333333333332,0.0,0.1333333333333333,4.433333333333334,1,0.1719646005702331,0,22,Saturday,2006-12-16,12,December,Winter,1.369236013959939,2.081362245358406,0.8932595364646383,5.649572496305126,0.1261657302001093,241.04869644327414,5.74405512212707,32.102222222222224,60.68327964660914,3.0564666666666667,2.0616,73.68260320691815,132.3679522251683
2006-12-16 23:00:00,2.0616,0.0714333333333333,240.61966666666663,8.896666666666667,0.0,0.0833333333333333,0.0,1,0.175314836006308,0,23,Saturday,2006-12-16,12,December,Winter,0.8872135680751174,0.8957981220657277,0.7971244131455398,3.9759741784037557,0.1190702582159624,243.0482762910798,3.727443661971831,34.276666666666664,132.3679522251683,2.200133333333333,1.8824666666666665,60.68327964660914,190.72620082297578
2006-12-17 00:00:00,1.8824666666666665,0.1024333333333333,240.9618333333333,8.126666666666667,0.0,0.4666666666666667,0.0,1,0.1973351816685459,0,0,Sunday,2006-12-17,12,December,Winter,0.647504993130257,0.33468214872155755,0.5124845011896384,2.936464930799906,0.11461603833651685,242.41523987131797,2.7566137193793776,30.907777777777778,190.72620082297578,2.0616,3.3494,132.3679522251683,530.621496738552
2006-12-17 01:00:00,3.3494,0.1369333333333333,240.44833333333327,14.246666666666666,0.0,25.23333333333333,0.0,-1,-0.006740679489587,1,1,Sunday,2006-12-17,12,December,Winter,0.531126835561811,0.23287590898428337,0.36366408632418484,2.3342833685198214,0.10474137931034479,241.72934893267652,2.2770208773164438,30.590000000000007,530.621496738552,1.8824666666666665,1.5872666666666668,190.72620082297578,230.25504089913068
2006-12-17 02:00:00,1.5872666666666668,0.0782333333333333,245.81866666666667,6.87,0.0,0.5666666666666667,0.0,1,0.1691249629661901,0,2,Sunday,2006-12-17,12,December,Winter,0.4806184524376309,0.1458567415730337,0.3501311258173046,2.0271418539325845,0.1051000801434647,242.59294770638923,2.0649125166634925,25.88777777777778,230.25504089913068,3.3494,1.6622,530.621496738552,273.65405311158247
